year,month,open ,high,low,close,volume
2012,7,605.12,615.35,603.15,604.3,60068500
2012,7,605.3,619.87,592.68,604.97,75005500
2012,7,584.73,614.34,583.6,605.88,55182800
2012,6,577.3,584,565.61,584,53151900
2012,6,570.96,590,570.37,582.1,63270800
2012,6,587.72,588.5,566.7,574.13,71466200
2012,6,561.5,580.584,548.5,580.32,74069600
2012,6,570.9,581.5,560.52,560.99,68664300
2012,5,534.5,576.5,534.05,562.29,97700400
2012,5,562.57,567.51,522.18,530.38,101406100
2012,5,561.5,575.88,558.73,566.71,77529300
2012,5,597.8,598.4,565.17,565.25,88038400
2012,4,570.61,618,555,603,138973100
2012,4,610.06,620.25,570.42,572.98,174876800
2012,4,626.13,644,603.51,605.23,130637800
2012,4,601.83,634.66,600.38,633.68,94542500
2012,3,599.79,621.45,595.26,599.55,114200300
2012,3,598.37,609.65,582,596.05,122010700
2012,3,548.982,600.01,547,585.57,160792400
2012,3,545.42,547.74,516.221,545.17,119759300
2012,3,521.31,548.21,516.28,545.18,114820100
2012,2,506.88,522.9,504.12,522.41,73999900
2012,2,499.53,526.29,486.63,502.12,141574700
2012,2,458.38,497.62,458.201,493.42,88894400
2012,2,445.71,460,445.39,459.68,54088100
2012,1,422.67,454.45,419.55,447.28,86989600
2012,1,424.2,431.369,419.75,420.3,42692900
2012,1,425.5001,427.75,418.66,419.81,46639800
2012,1,409.4,422.75,409,422.4,41135900
2011,12,403.1,409.09,400.51,405,31763500
2011,12,382.47,403.59,380.48,403.33,46694700
2011,12,391.68,395.4,377.68,381.02,61591500
2011,12,393.49,396.41,386.7625,393.62,57818000
2011,12,372.35,393.6299,370.2,389.7,67658700
2011,11,370.4,377.93,363.32,363.57,55001200
2011,11,383.5201,391.14,374.88,374.94,73741600
2011,11,399.91,408,380.26,384.62,93855000
2011,11,402.42,409.33,393.22,400.24,71009200
2011,10,396.18,409,393.151,404.95,78799200
2011,10,421.74,426.7,390.75,392.87,137222200
2011,10,379.09,422,378.21,422,95358600
2011,10,380.37,384.78,354.24,369.8,144188800
2011,9,399.86,409.25,381.18,381.32,109776400
2011,9,397,422.86,395.2045,404.3,132869600
2011,9,375.89,400.503,371.9,400.5,91408900
2011,9,367.37,388.61,366.48,377.48,65758800
2011,9,388.18,392.08,371.83,374.05,76015800
2011,8,364.51,383.8,355.09,383.58,118972900
2011,8,379.63,384.97,356,356.03,108167100
2011,8,361.69,379.64,353.02,376.99,156286400
2011,8,397.78,399.5,362.57,373.62,145031500
2011,7,390.35,404.5,384,390.48,105440400
2011,7,365.43,396.27,365.28,393.3,120585800
2011,7,356.34,365,348.62,364.92,78604400
2011,7,343,360,342.5,359.71,60320600
2011,7,327.59,343.5,327.25,343.26,62318800
2011,6,317.355,333.15,310.5,326.35,90149200
2011,6,327.2,333.25,318.33,320.26,78173200
2011,6,344.84,347.05,325.51,325.9,72660500
2011,6,341.1,352.132,341,343.44,58016800
2011,5,329.97,338.56,329.42,337.41,50925400
2011,5,339.2,342.414,330.73,335.22,65572300
2011,5,347.86,350,340.35,340.5,52534100
2011,5,349.74,351.83,345.5,346.66,62907700
2011,4,350.34,354.99,345.52,350.13,83173700
2011,4,326.1,355.13,320.16,350.696,88705500
2011,4,334.06,336.14,326.8,327.46,68793300
2011,4,344.31,344.6,333.95,335.06,74869200
2011,4,353.15,354.32,343.3,344.56,60155100
2011,3,335.99,352.06,335.26,351.54,70069400
2011,3,353.18,356.4844,326.26,330.67,133274500
2011,3,361.4,361.67,344.9,351.99,83370200
2011,3,351.24,360.29,347.681,360,86280600
2011,2,342.15,348.43,337.72,348.16,86583200
2011,2,356.79,364.9,349.52,350.56,86513900
2011,2,347.89,360,347.64,356.85,94461800
2011,2,335.8,346.7,334.3,346.5,63516900
2011,1,326.87,345.6,326.72,336.1,89482500
2011,1,329.52,348.6,326,326.72,161992900
2011,1,338.83,348.48,337.17,348.48,64317100
2011,1,325.64,336.35,324.8365,336.12,57932100
2010,12,322.8519,326.66,321.31,322.56,33567200
2010,12,321.6,325.72,318.23,323.6,40394400
2010,12,324.37,325.06,319,320.61,68467700
2010,12,318.64,323.99,317.11,320.56,61376200
2010,12,315.5,319,310.87,317.44,79083000
2010,11,306.68,317.6999,305.87,315,55851200
2010,11,308.46,310.54,297.76,306.73,86430000
2010,11,317.2,321.3,303.63,308.03,78809300
2010,11,302.22,320.18,302.2,317.13,84639600
2010,10,309.09,311.6,300.87,300.98,77355600
2010,10,318.47,319,300.02,307.47,141844900
2010,10,294.74,315,292.49,314.74,106210000
2010,10,281.6,294.5,277.77,294.07,95533600
2010,10,293.975,294.73,275,282.52,111037700
2010,9,276.08,293.53,275.85,292.32,119558800
2010,9,265.82,277.96,265.52,275.37,89745700
2010,9,256.64,266.52,256.25,263.41,60543800
2010,9,240.76,258.78,240.35,258.77,87047500
2010,8,251.79,252,235.56,241.62,93870400
2010,8,247.58,254.67,246.62,249.64,67560800
2010,8,261.48,262.15,246.12,249.1,80889000
2010,8,260.44,264.28,257.63,260.091,71431400
2010,7,260,265.99,254.9,257.25,93475900
2010,7,249.88,265.15,239.6,259.94,159421700
2010,7,258.53,261.85,246.43,249.9,158234800
2010,7,251,262.9,246.16,259.62,87187800
2010,7,266.93,269.75,243.2,246.94,149088700
2010,6,277.69,279.01,265.81,266.7,125943900
2010,6,255.96,275,254.01,274.074,129613900
2010,6,258.29,259.15,242.2,253.51,145159200
2010,6,259.69,265.94,254.63,255.965,106194000
2010,5,247.28,259.4,237.16,256.88,147671300
2010,5,254.7,258.55,231.35,242.32,181358800
2010,5,250.25,265,248.53,253.82,137381000
2010,5,263.84,267.88,225.21,235.86,179398000
2010,4,271.88,272.46,256.41,261.09,108861400
2010,4,247.03,272.18,241.77,270.83,138500800
2010,4,242.2,251.14,241.11,247.4,77523000
2010,4,234.975,241.92,234.77,241.79,95257100
2010,4,233,238.73,231.62,235.97,75066400
2010,3,220.47,231.95,220.15,230.9,101421100
2010,3,225.38,226.45,220.25,222.2499,81890100
2010,3,220.01,227.73,217.89,226.6,98871100
2010,3,205.75,219.7,205.45,218.95,98369800
2010,2,202.34,205.17,195.71,204.62,92814700
2010,2,201.94,204.31,200.86,201.67,64943900
2010,2,195.69,201.64,194,200.38,95976200
2010,2,192.37,200.2,190.85,195.46,131125200
2010,1,202.51,213.71,190.25,192.063,252672600
2010,1,208.33,215.55,197.16,197.75,101145800
2010,1,212.8,213,204.1,205.93,96055100
2010,1,213.43,215.59,209.05,211.98,91876300
2009,12,211.72,213.95,208.31,210.732,66223800
2009,12,196.05,209.35,195.67,209.04,64565600
2009,12,195.37,197.51,191,195.43,80923000
2009,12,193.32,199.7,188.68,194.67,107478000
2009,12,201.11,202.77,190.28,193.32,102910200
2009,11,203,206,198.37,200.59,49108800
2009,11,205.48,208,197.76,199.92,78751200
2009,11,196.94,205,196.26,204.45,74317600
2009,11,189.8,195.19,185.57,194.34,84605500
2009,10,203.67,206.75,186.0667,188.5,119538300
2009,10,187.85,208.7099,185.55,203.94,160327700
2009,10,191.02,192.32,187.84,188.05,64876400
2009,10,186.2,191.45,184.2701,190.47,79477500
2009,10,183.87,187.4,180.7,184.9,82158400
2009,9,184.29,188.9,181.44,182.37,85148300
2009,9,170.83,186.79,170.25,185.02,104095000
2009,9,172.98,174.47,169.7,172.16,70222500
2009,9,168.16,170.7,164.11,170.31,64757100
2009,8,170.12,172.49,164.83,170.05,69220200
2009,8,163.55,169.37,159.42,169.22,75961100
2009,8,165.66,168.67,161.88,166.78,65946600
2009,8,165.21,167.39,163.09,165.51,69364500
2009,7,160.17,165,157.26,163.39,73970200
2009,7,153.27,160,149.75,159.986,123204900
2009,7,139.54,152.02,137.53,151.75,82573600
2009,7,138.7,139.68,134.42,138.52,83018400
2009,7,143.46,144.66,139.79,140.02,63803500
2009,6,140.67,143.56,132.88,142.44,101993000
2009,6,136.01,139.5,134.53,139.48,99125200
2009,6,143.82,144.56,136.04,136.97,120898200
2009,6,136.47,146.4,136,144.67,94902600
2009,5,124.76,135.9,124.55,135.81,79551300
2009,5,123.73,129.31,121.57,122.5,68778300
2009,5,127.37,130.96,119.38,122.42,86625200
2009,5,128.24,133.5,126.26,129.19,88603300
2009,5,122.9,127.95,122.66,127.24,81809400
2009,4,121.73,127.2,118.6,123.9,120065700
2009,4,120.01,124.25,115.76,123.42,83845800
2009,4,114.94,120,113.28,119.57,77894000
2009,4,104.51,116.13,102.61,115.99,111102000
2009,3,102.71,109.98,101.75,106.85,109384000
2009,3,96.45,103.48,94.18,101.59,127703400
2009,3,84.12,97.2,82.57,95.93,134234100
2009,3,89.31,92.77,82.33,85.3,141240000
2009,2,91.6,92.92,86.51,89.31,134416700
2009,2,96.79,97.04,89,91.2,108433500
2009,2,101.165,103,95.77,99.16,130900400
2009,2,89.1,100,88.9,99.72,121515500
2009,1,88.88,95,88.3,90.13,121996100
2009,1,81.93,90,78.2,88.36,149374400
2009,1,90.46,90.99,80.05,82.33,189894200
2009,1,93.17,97.17,90.04,90.58,158725500
2009,1,86.52,91.04,84.72,90.75,107398500
2008,12,90.02,90.03,84.55,85.81,73551100
2008,12,95.99,96.48,88.02,90,176373600
2008,12,97.28,103.6,92.53,98.27,193159900
2008,12,91.3,96.23,86.5,94,198083400
2008,11,85.21,95.25,84.84,92.67,138398600
2008,11,88.48,91.58,79.14,82.58,243936000
2008,11,100.17,100.4,86.02,90.24,242381800
2008,11,105.93,111.79,95.72,98.24,218835800
2008,10,95.07,112.19,91.86,107.59,288990300
2008,10,99.78,101.25,90.11,96.38,330611700
2008,10,104.55,116.4,85.885,97.4,315964100
2008,10,91.96,101.5,85,96.8,358236200
2008,10,119.62,119.68,94.65,97.07,337463800
2008,9,139.94,140.25,123,128.24,189878200
2008,9,142.03,147.69,120.68,140.91,229573400
2008,9,164.57,164.89,146,148.94,179582500
2008,9,172.4,173.5,157.65,160.18,108781000
2008,8,176.15,176.25,169.0401,169.53,87086800
2008,8,175.57,177.81,171.81,176.79,94804500
2008,8,170.07,180.45,169.67,175.74,142481500
2008,8,156.58,169.65,152.91,169.55,123524200
2008,8,162.18,162.47,153.65,156.66,120432300
2008,7,166.9,168.37,146.53,162.12,206253100
2008,7,175.37,179.3,165,165.15,153565300
2008,7,173,180.91,171,172.58,156257800
2008,7,170.04,177.45,164,170.12,112727100
2008,6,174.78,178.83,164.15,170.09,136572800
2008,6,171.25,182.34,169.07,175.27,158684700
2008,6,184.92,186.78,165.31,172.37,237327700
2008,6,188.5,189.95,182.3354,185.64,138543300
2008,5,182.8,189.54,181.84,188.75,99687700
2008,5,187.9,188.69,172,181.17,185249300
2008,5,185.12,192.24,182.85,187.6201,149914300
2008,5,181.81,188.2,180.54,183.45,160811400
2008,5,169.74,181.92,169.13,180.94,169995500
2008,4,162.35,171.1,158.09,169.73,238266300
2008,4,146.77,162.26,144.54,161.04,145354700
2008,4,156.13,159.69,146.4,147.14,186137800
2008,4,143.27,154.715,142.52,153.08,169699500
2008,3,134.01,145.74,133.64,143.01,179137000
2008,3,122.55,134.29,122.55,133.27,149894400
2008,3,121.98,130.3,119.37,126.61,201496600
2008,3,124.44,127.5,118,122.25,260872300
2008,2,118.59,132.2,115.44,125.02,253947700
2008,2,125.99,126.75,115.87,119.46,158588500
2008,2,128.01,131,123.62,124.63,187548000
2008,2,134.21,135.9,117.27,125.48,251887600
2008,2,128.16,136.65,126.45,133.75,220510600
2008,1,148.06,159.98,126.14,130.01,334583200
2008,1,177.52,179.42,156.7,161.36,326420600
2008,1,181.25,183.6,168.3,172.69,290184000
2008,1,199.5,200.5,178.89,180.05,139871800
2007,12,195.03,202.96,194.79,199.83,95682500
2007,12,190.72,193.9125,178.6,193.91,172956900
2007,12,193.59,200,185.76,190.39,164210500
2007,12,181.86,194.99,176.99,194.3,164055300
2007,11,173.59,187.7,170.01,182.22,214729500
2007,11,166.1,172.35,162.1,171.54,156487100
2007,11,165.28,177.57,150.63,166.39,279592300
2007,11,185.29,192.68,165.21,165.37,220356800
2007,11,185.7,190.12,180,187.87,147158200
2007,10,170.35,188.6,169.9601,184.7,229058000
2007,10,167.98,174.63,163.5,170.42,192458200
2007,10,163.49,171.11,153.25,167.2537,156266845
2007,10,154.63,161.58,152.93,161.4499,140074500
2007,9,146.73,155,146.65,153.47,160474300
2007,9,138.99,144.65,137.6,144.15,168395100
2007,9,137,139.4,133.75,138.81,169499200
2007,9,139.94,145.84,130,131.77,249175100
2007,8,133.3907,139.65,126.63,138.48,191647700
2007,8,123.96,135.37,120.5,135.3,176671500
2007,8,128.33,129.35,111.62,122.06,198090100
2007,8,132.9,137.24,120.3,125,186405300
2007,8,144.33,145.45,127.77,131.8499,219691800
2007,7,143.31,148.92,134.15,143.85,274131900
2007,7,138.39,144.18,136.04,143.75,153699800
2007,7,132.38,137.85,128.81,137.73,167314800
2007,7,121.05,133.34,119.3,132.3,160181800
2007,6,124.19,125.09,118.72,122.04,187896100
2007,6,123.28,125.18,120.72,123,151788000
2007,6,126,126.15,115.4,120.5,243095100
2007,6,118.63,127.61,117.9,124.49,217016500
2007,6,114.45,122.17,112.69,118.4,153802400
2007,5,110.31,115,110.05,113.62,130142800
2007,5,109.62,110.64,103.42,110.02,146066600
2007,5,101.08,109.13,101.01,108.74,150509500
2007,5,100.09,101.6,98.55,100.81,93294400
2007,4,91.585,102.5,91.3,99.92,194995300
2007,4,90.57,92.3,89.6,90.97,99060400
2007,4,95.21,95.3,90.0599,90.24,96123000
2007,4,94.14,95.23,93.02,94.68,68508100
2007,3,93.99,96.83,92.23,92.91,145202100
2007,3,90.24,94.36,89.59,93.52,103612500
2007,3,88.07,90.6,87.92,89.59,125896000
2007,3,85.89,88.97,85.76,87.97,112543500
2007,3,89.84,90,83,85.41,177023800
2007,2,84.65,90.81,84.16,89.07,111754800
2007,2,84.43,85.64,83.63,84.83,92020300
2007,2,84.3,86.51,82.86,83.27,144630100
2007,2,86.3,86.65,83.7,84.75,129342000
2007,1,89.14,89.16,84.99,85.38,195789700
2007,1,95.68,97.6,88.12,88.5,236407700
2007,1,85.96,97.8,85.15,94.62,351865300
2007,1,86.29,86.58,81.9,85.05,104297200
